row,column,cor,p
Otu000630,Otu000820,1,0
Otu000662,Otu000820,1,0
Otu000716,Otu000820,1,0
Otu000267,Otu000825,1,0
Otu000177,Otu000828,1,0
Otu000241,Otu000828,1,0
Otu000260,Otu000828,1,0
Otu000511,Otu000828,1,0
Otu000492,Otu000832,1,0
Otu000586,Otu000840,1,0
Otu000600,Otu000840,1,0
Otu000620,Otu000840,1,0
Otu000675,Otu000840,1,0
Otu000711,Otu000840,1,0
Otu000772,Otu000840,1,0
Otu000775,Otu000840,1,0
Otu000162,Otu000842,1,0
Otu000391,Otu000842,1,0
Otu000538,Otu000844,1,0
Otu000686,Otu000844,1,0
Otu000123,Otu000846,1,0
Otu000173,Otu000846,1,0
Otu000235,Otu000846,1,0
Otu000713,Otu000847,1,0
Otu000274,Otu000857,1,0
Otu000404,Otu000857,1,0
Otu000448,Otu000857,1,0
Otu000463,Otu000857,1,0
Otu000549,Otu000857,1,0
Otu000630,Otu000857,1,0
Otu000662,Otu000857,1,0
Otu000716,Otu000857,1,0
Otu000820,Otu000857,1,0
Otu000764,Otu000864,1,0
Otu000649,Otu000866,1,0
Otu000199,Otu000868,1,0
Otu000561,Otu000868,1,0
Otu000612,Otu000868,1,0
Otu000815,Otu000868,1,0
Otu000316,Otu000895,1,0
Otu000525,Otu000895,1,0
Otu000547,Otu000895,1,0
Otu000599,Otu000895,1,0
Otu000663,Otu000895,1,0
Otu000752,Otu000895,1,0
Otu000123,Otu000899,1,0
Otu000173,Otu000899,1,0
Otu000235,Otu000899,1,0
Otu000846,Otu000899,1,0
Otu000649,Otu000912,1,0
Otu000866,Otu000912,1,0
Otu000466,Otu000917,1,0
Otu000591,Otu000917,1,0
Otu000680,Otu000917,1,0
Otu000538,Otu000918,1,0
Otu000686,Otu000918,1,0
Otu000844,Otu000918,1,0
Otu000274,Otu000926,1,0
Otu000404,Otu000926,1,0
Otu000448,Otu000926,1,0
Otu000463,Otu000926,1,0
Otu000549,Otu000926,1,0
Otu000630,Otu000926,1,0
